job,time,sample,ship_version,tag,nCandidates,nEvents15y
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,simulated,994,10724802.396001423
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,reconstructed,59,684077.6219462565
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,n_particles,30,324194.28633944213
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,fiducial,21,241474.08301538852
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,dist2innerwall,50,595430.5884206766
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,dist2vesselentrance,59,684077.6219462565
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,impact_par,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,doca,18,190014.90840586557
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,n_dof,21,202622.67552782036
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,reduced_chi2,56,643542.0449707006
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,d_mom,19,187895.9831868917
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,BasicSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,BasicSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,BasicSBT@0MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,AdvSBT@45MeV,1,6341.234796717908
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,AdvSBT@90MeV,1,6341.234796717908
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,TOFSBT@45MeV,13,130978.56378421155
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,TOFSBT@90MeV,14,150565.75314268772
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GNNSBT@45MeV,40,521747.60999349743
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT,55,609747.5107946317
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,inv_mass,58,677736.3871495386
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID,37,434387.3084277395
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_leptonic,14,127650.55978285133
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_ee,8,82335.03633240011
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_mumu,2,2314.7668306916185
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_semileptonic,37,434387.3084277395
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_semileptonic_e,22,292192.2707912304
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,PID_semileptonic_mu,16,155059.85754230866
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+BasicSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+BasicSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+AdvSBT@45MeV,1,6341.234796717908
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+AdvSBT@90MeV,1,6341.234796717908
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+GNNSBT@45MeV,36,447417.4988418728
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+TOFSBT@45MeV,12,111391.3744257354
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,UBT+TOFSBT@90MeV,12,111391.3744257354
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@45MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@45MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@90MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@90MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@45MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@45MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@90MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@90MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@45MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@45MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@90MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@90MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+GNNSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+GNNSBT@45MeV+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+GNNSBT@45MeV+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+AdvSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+AdvSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+TOFSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+TOFSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+BasicSBT@45MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+BasicSBT@90MeV,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+PID,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+PID+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@45MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+BasicSBT@90MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@45MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+TOFSBT@90MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@45MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,preselection+UBT+AdvSBT@90MeV+inv_mass,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par+UBT,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters+n_particles+fiducial+doca+impact_par,0,0.0
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters+n_particles+fiducial+doca,1,12864.819905799419
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters+n_particles+fiducial,3,14813.663702482352
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters+n_particles,8,31792.818613275405
vesselCase_SBT/job_0,2025-09-15T20:15:12,vesselCase,2024_helium,GoodDaughters,11,69467.89029503446
